probe_id,source_id,endpoint,model,date_local,cp,cp_utc,target_valid_time_utc,selected_run_time_utc,selected_available_time_utc,selected_lead_h,causal_class,success,error,production_status
om_probe_00054,historical_forecast_best_match,historical_forecast,best_match,2025-04-15,21:00,2025-04-15T09:00:00+00:00,2025-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00055,historical_forecast_best_match,historical_forecast,best_match,2025-04-15,22:00,2025-04-15T10:00:00+00:00,2025-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00056,historical_forecast_best_match,historical_forecast,best_match,2025-04-15,23:00,2025-04-15T11:00:00+00:00,2025-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00057,historical_forecast_best_match,historical_forecast,best_match,2025-07-15,20:00,2025-07-15T08:00:00+00:00,2025-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00058,historical_forecast_best_match,historical_forecast,best_match,2025-07-15,21:00,2025-07-15T09:00:00+00:00,2025-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00059,historical_forecast_best_match,historical_forecast,best_match,2025-07-15,22:00,2025-07-15T10:00:00+00:00,2025-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00060,historical_forecast_best_match,historical_forecast,best_match,2025-07-15,23:00,2025-07-15T11:00:00+00:00,2025-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00061,historical_forecast_best_match,historical_forecast,best_match,2025-10-15,20:00,2025-10-15T07:00:00+00:00,2025-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00062,historical_forecast_best_match,historical_forecast,best_match,2025-10-15,21:00,2025-10-15T08:00:00+00:00,2025-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00063,historical_forecast_best_match,historical_forecast,best_match,2025-10-15,22:00,2025-10-15T09:00:00+00:00,2025-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00064,historical_forecast_best_match,historical_forecast,best_match,2025-10-15,23:00,2025-10-15T10:00:00+00:00,2025-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00065,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-01-15,20:00,2022-01-15T07:00:00+00:00,2022-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00066,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-01-15,21:00,2022-01-15T08:00:00+00:00,2022-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00067,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-01-15,22:00,2022-01-15T09:00:00+00:00,2022-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00068,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-01-15,23:00,2022-01-15T10:00:00+00:00,2022-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00069,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-04-15,20:00,2022-04-15T08:00:00+00:00,2022-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00070,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-04-15,21:00,2022-04-15T09:00:00+00:00,2022-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00071,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-04-15,22:00,2022-04-15T10:00:00+00:00,2022-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00072,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-04-15,23:00,2022-04-15T11:00:00+00:00,2022-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00073,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-07-15,20:00,2022-07-15T08:00:00+00:00,2022-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00074,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-07-15,21:00,2022-07-15T09:00:00+00:00,2022-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00075,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-07-15,22:00,2022-07-15T10:00:00+00:00,2022-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00076,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-07-15,23:00,2022-07-15T11:00:00+00:00,2022-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00077,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-10-15,20:00,2022-10-15T07:00:00+00:00,2022-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00078,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-10-15,21:00,2022-10-15T08:00:00+00:00,2022-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00079,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-10-15,22:00,2022-10-15T09:00:00+00:00,2022-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00080,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2022-10-15,23:00,2022-10-15T10:00:00+00:00,2022-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00081,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-01-15,20:00,2023-01-15T07:00:00+00:00,2023-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00082,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-01-15,21:00,2023-01-15T08:00:00+00:00,2023-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00083,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-01-15,22:00,2023-01-15T09:00:00+00:00,2023-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00084,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-01-15,23:00,2023-01-15T10:00:00+00:00,2023-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00085,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-04-15,20:00,2023-04-15T08:00:00+00:00,2023-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00086,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-04-15,21:00,2023-04-15T09:00:00+00:00,2023-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00087,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-04-15,22:00,2023-04-15T10:00:00+00:00,2023-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00088,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-04-15,23:00,2023-04-15T11:00:00+00:00,2023-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00089,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-07-15,20:00,2023-07-15T08:00:00+00:00,2023-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00090,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-07-15,21:00,2023-07-15T09:00:00+00:00,2023-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00091,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-07-15,22:00,2023-07-15T10:00:00+00:00,2023-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
