method,candidate_version,macro_regime_label,cp,n_train,n_test,n_assigned,n_low_confidence,coverage_share,low_confidence_share,mean_entropy,mean_margin,silhouette_score,davies_bouldin_score,calinski_harabasz_score,purity_vs_v21,nmi_vs_v21,ari_vs_v21,temporal_stability,fold_stability,dead_regime_flag,production_status
train_only_gmm,v2.2,macro_nw_continuum,23:00,3170,95,3265,423,0.14960593841642228,0.12955589586523736,0.2525752330809005,0.7896683133125059,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_nw_continuum,20:00,3446,102,3548,381,0.1625733137829912,0.10738444193912063,0.23235667097295382,0.8141234357491851,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_calm_radiative,21:00,571,16,587,102,0.02689699413489736,0.1737649063032368,0.3928774858684476,0.6965233251782369,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_calm_radiative,23:00,420,11,431,99,0.019748900293255132,0.2296983758700696,0.41542868344454353,0.6731052727533577,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_calm_radiative,22:00,505,14,519,112,0.02378115835777126,0.21579961464354527,0.4116801462516581,0.6787022054573971,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_calm_radiative,20:00,627,20,647,126,0.02964626099706745,0.1947449768160742,0.3763861088255752,0.6973979031853935,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_southerly_flow,22:00,1500,41,1541,235,0.07061033724340177,0.15249837767683322,0.20378448755976808,0.8066120576978554,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_southerly_flow,20:00,1229,32,1261,211,0.057780425219941346,0.16732751784298175,0.21731776075059267,0.7921758165073653,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_southerly_flow,21:00,1327,36,1363,235,0.0624541788856305,0.1724137931034483,0.21107560247575155,0.7963969172129751,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
train_only_gmm,v2.2,macro_southerly_flow,23:00,1712,48,1760,247,0.08064516129032258,0.1403409090909091,0.1872548525035098,0.8218468489754038,0.09332420901508638,1.8679472007135047,77.54458870659248,0.6136363636363636,0.14515214130601353,0.07560044799786757,0.9641878934982993,0.07991328465901584,false,EXPERIMENT_ONLY
