policy_id,n_days,n_cp_rows,mae,exact_bracket_pct,any_cp_exact_pct,cp23_exact_pct,production_status,slice_type,slice_name
always_recent,30,30,0.830195555555555,36.666666666666664,36.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-04|22:00
always_season,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|22:00
selected_policy,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-04|22:00
always_augmented,30,30,0.8445994001813546,56.666666666666664,56.666666666666664,56.666666666666664,EXPERIMENT_ONLY,month_cp,2024-04|23:00
always_recent,30,30,0.830195555555555,36.666666666666664,36.666666666666664,36.666666666666664,EXPERIMENT_ONLY,month_cp,2024-04|23:00
always_season,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY,month_cp,2024-04|23:00
selected_policy,30,30,0.7932323232323225,43.333333333333336,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY,month_cp,2024-04|23:00
always_augmented,31,31,0.9248200290473678,22.580645161290324,22.580645161290324,,EXPERIMENT_ONLY,month_cp,2024-05|20:00
always_recent,31,31,0.6111397849462363,51.61290322580645,51.61290322580645,,EXPERIMENT_ONLY,month_cp,2024-05|20:00
always_season,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,,EXPERIMENT_ONLY,month_cp,2024-05|20:00
selected_policy,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,,EXPERIMENT_ONLY,month_cp,2024-05|20:00
always_augmented,31,31,0.7640901333703407,35.483870967741936,35.483870967741936,,EXPERIMENT_ONLY,month_cp,2024-05|21:00
always_recent,31,31,0.6111397849462363,51.61290322580645,51.61290322580645,,EXPERIMENT_ONLY,month_cp,2024-05|21:00
always_season,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,,EXPERIMENT_ONLY,month_cp,2024-05|21:00
selected_policy,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,,EXPERIMENT_ONLY,month_cp,2024-05|21:00
always_augmented,31,31,0.7389258474306013,35.483870967741936,35.483870967741936,,EXPERIMENT_ONLY,month_cp,2024-05|22:00
always_recent,31,31,0.6111397849462363,51.61290322580645,51.61290322580645,,EXPERIMENT_ONLY,month_cp,2024-05|22:00
always_season,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,,EXPERIMENT_ONLY,month_cp,2024-05|22:00
selected_policy,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,,EXPERIMENT_ONLY,month_cp,2024-05|22:00
always_augmented,31,31,0.8121365788991732,29.032258064516128,29.032258064516128,29.032258064516128,EXPERIMENT_ONLY,month_cp,2024-05|23:00
always_recent,31,31,0.6111397849462363,51.61290322580645,51.61290322580645,51.61290322580645,EXPERIMENT_ONLY,month_cp,2024-05|23:00
always_season,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,48.38709677419355,EXPERIMENT_ONLY,month_cp,2024-05|23:00
selected_policy,31,31,0.6417106549364613,48.38709677419355,48.38709677419355,48.38709677419355,EXPERIMENT_ONLY,month_cp,2024-05|23:00
always_augmented,30,30,0.7464920824218388,36.666666666666664,36.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-06|20:00
always_recent,30,30,0.6520711111111112,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-06|20:00
always_season,30,30,0.6584175084175085,50.0,50.0,,EXPERIMENT_ONLY,month_cp,2024-06|20:00
selected_policy,30,30,0.6584175084175085,50.0,50.0,,EXPERIMENT_ONLY,month_cp,2024-06|20:00
always_augmented,30,30,0.7351349937064164,36.666666666666664,36.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-06|21:00
always_recent,30,30,0.6520711111111112,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-06|21:00
always_season,30,30,0.6584175084175085,50.0,50.0,,EXPERIMENT_ONLY,month_cp,2024-06|21:00
selected_policy,30,30,0.6584175084175085,50.0,50.0,,EXPERIMENT_ONLY,month_cp,2024-06|21:00
always_augmented,30,30,0.6550563267588179,36.666666666666664,36.666666666666664,,EXPERIMENT_ONLY,month_cp,2024-06|22:00
always_recent,30,30,0.6520711111111112,43.333333333333336,43.333333333333336,,EXPERIMENT_ONLY,month_cp,2024-06|22:00
always_season,30,30,0.6584175084175085,50.0,50.0,,EXPERIMENT_ONLY,month_cp,2024-06|22:00
selected_policy,30,30,0.6584175084175085,50.0,50.0,,EXPERIMENT_ONLY,month_cp,2024-06|22:00
always_augmented,30,30,0.6734711321668837,46.666666666666664,46.666666666666664,46.666666666666664,EXPERIMENT_ONLY,month_cp,2024-06|23:00
always_recent,30,30,0.6520711111111112,43.333333333333336,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY,month_cp,2024-06|23:00
always_season,30,30,0.6584175084175085,50.0,50.0,50.0,EXPERIMENT_ONLY,month_cp,2024-06|23:00
selected_policy,30,30,0.6584175084175085,50.0,50.0,50.0,EXPERIMENT_ONLY,month_cp,2024-06|23:00
always_augmented,31,31,0.8613733952443289,32.25806451612903,32.25806451612903,,EXPERIMENT_ONLY,month_cp,2024-07|20:00
