experiment_id,candidate_version,macro_regime_label,month,cp,n_assignment_rows,n_unique_days,date_window_start,date_window_end,remaining_warming_p10,remaining_warming_p25,remaining_warming_p50,remaining_warming_p75,remaining_warming_p90,remaining_warming_mean,remaining_warming_std,tmax_int_p50,tmax_hour_p10,tmax_hour_p50,tmax_hour_p90,tmax_hour_before_13_share,tmax_hour_13_17_share,tmax_hour_after_17_share,underpowered_n_lt_min_cell,causal_role,diagnostic_note,production_status
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,1,21:00,224,224,2014-01-01,2025-01-31,1.0,2.0,3.0,4.0,5.0,3.044642857142857,1.435541133932889,22.0,11.0,13.0,17.0,0.32589285714285715,0.6383928571428571,0.03571428571428571,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,1,22:00,224,224,2014-01-01,2025-01-31,1.0,1.0,2.0,3.0,4.0,2.21875,1.3330588749659786,22.0,11.0,13.0,17.0,0.32589285714285715,0.6294642857142857,0.044642857142857144,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,1,23:00,224,224,2014-01-01,2025-01-31,0.0,1.0,1.0,2.0,3.0,1.5848214285714286,1.1721514328030167,22.0,11.0,13.0,17.0,0.32589285714285715,0.6339285714285714,0.04017857142857143,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,2,20:00,201,201,2014-02-04,2025-02-28,2.0,3.0,4.0,5.0,6.0,4.014925373134329,1.94287830792435,22.0,10.0,13.0,15.0,0.3283582089552239,0.6567164179104478,0.014925373134328358,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,2,21:00,212,212,2014-02-03,2025-02-28,1.0,2.0,3.0,4.0,5.0,3.2452830188679247,1.6682784540026347,22.0,10.0,13.0,15.0,0.330188679245283,0.660377358490566,0.009433962264150943,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,2,22:00,215,215,2014-02-03,2025-02-28,0.0,2.0,2.0,3.0,4.0,2.297674418604651,1.3412033187028518,22.0,10.0,13.0,15.0,0.32558139534883723,0.6604651162790698,0.013953488372093023,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,2,23:00,218,218,2014-02-03,2025-02-28,0.0,1.0,1.0,2.0,3.0,1.5688073394495412,1.224684460270069,22.0,11.0,13.0,15.0,0.3165137614678899,0.6697247706422018,0.013761467889908258,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,3,20:00,198,198,2014-03-01,2025-03-30,2.0,2.0,4.0,5.0,6.0,3.782828282828283,1.8437184014831536,21.0,11.0,13.0,16.0,0.30808080808080807,0.6767676767676768,0.015151515151515152,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,3,21:00,207,207,2014-03-01,2025-03-30,1.0,2.0,3.0,4.0,5.0,3.178743961352657,1.5554265693907752,21.0,11.0,13.0,15.0,0.30434782608695654,0.6811594202898551,0.014492753623188406,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_nw_continuum,3,22:00,217,217,2014-03-01,2025-03-30,1.0,2.0,2.0,3.0,4.0,2.2764976958525347,1.1890903351832223,21.0,11.0,13.0,16.0,0.30414746543778803,0.6774193548387096,0.018433179723502304,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
