iteration_id,iteration_label,month,n_days,any_cp_exact_days,any_cp_exact_pct,n_days_with_cp23,cp23_exact_days,cp23_exact_pct,variant_id,train_start,production_status
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-03,31,12,38.70967741935484,31,12,38.70967741935484,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-04,30,14,46.666666666666664,30,10,33.33333333333333,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-05,31,19,61.29032258064516,31,10,32.25806451612903,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-06,30,14,46.666666666666664,30,10,33.33333333333333,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-07,31,12,38.70967741935484,31,8,25.806451612903224,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-08,31,16,51.61290322580645,31,11,35.483870967741936,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-09,30,14,46.666666666666664,30,9,30.0,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-10,31,18,58.06451612903226,31,14,45.16129032258064,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-11,30,17,56.666666666666664,30,12,40.0,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
legacy_2009_start,Onda 3E legacy 2009-start binary-macro interactions,2025-12,31,11,35.483870967741936,31,6,19.35483870967742,legacy_2009_start,2009-04-23,EXPERIMENT_ONLY
