stratum_type,stratum_value,k,cluster_id,n_rows,wind_dir_deg_mean,wind_speed_mean,qnh_hpa_mean,relh_mean,dewpoint_depression_mean,precip_pre_cp_sum_mean,cloud_cover_score_mean,temp_slope_pre_cp_mean,tmax_anomaly_mean,remaining_warming_mean,dominant_current_regime
month,3,2,1,668,72.48258428453002,15.874463777359942,1016.7368088506115,73.39189578151935,4.814828239407772,0.0,2.1164916600224335,0.09520287493760332,-0.5533642392634078,2.1706586826347305,southerly_disrupted
month,3,3,0,463,183.75495418704568,12.71597634223096,1016.8766706724358,88.54273575244905,1.9246440283592605,0.0,2.674746930587466,-0.06755862753402665,-1.0603869109826038,1.857451403887689,southerly_disrupted
month,3,3,1,918,15.323248359665547,11.204299857688913,1016.7486708612756,81.38212639007429,3.2453930561888122,0.0,2.167168338607989,0.15570362303320173,1.2562583456321603,2.7320261437908497,southerly_disrupted
month,3,3,2,346,167.41677290642096,16.701188602977183,1019.1913199432499,70.25344869231289,5.442797688029126,0.0,2.155503812107672,0.02364037241470391,-2.3007769283361306,1.916184971098266,southerly_disrupted
month,3,4,0,392,182.5993937804559,11.936032802935497,1017.867676804713,89.36765749189783,1.7745400139497982,0.0,2.701308904564881,-0.0733733237858351,-1.165838270792187,1.8392857142857142,southerly_disrupted
month,3,4,1,371,340.03656278499335,19.863796969191252,1012.162514209624,75.36584095146114,4.427775903915234,0.0,2.0272622930260287,0.020054919482292863,-0.736063530707475,1.8355795148247978,southerly_disrupted
month,3,4,2,758,17.933529183118182,10.138539226684134,1017.606437872276,82.51572939572635,3.026887866472995,0.0,2.112493880263793,0.16570623728912023,1.2843192328425124,2.825857519788918,southerly_disrupted
month,3,4,3,206,153.10603076734867,10.768200506282604,1024.1129761453883,70.25242871473664,5.4411818551570015,0.0,2.725120971608448,0.07549752515862108,-1.8311097191773658,2.3640776699029127,southerly_disrupted
month,3,5,0,344,182.89882663849792,12.010185976382035,1018.7149933574582,89.62883528028908,1.726638787920731,0.0,2.7418975036561344,-0.07324939158185448,-1.5058952238059502,1.7267441860465116,southerly_disrupted
month,3,5,1,197,182.127015508829,20.24221798179284,1015.4623036996971,73.39529150783501,4.781334619124444,0.0,1.6891698777481052,-0.0040041606967387644,-3.083881884176628,1.5482233502538072,southerly_disrupted
month,3,5,2,500,3.9701251211445996,16.464874159286968,1012.965934110993,79.41962729156765,3.6510482570154896,0.0,2.3755993937958064,0.09487814285539564,1.693569892473119,2.29,southerly_disrupted
month,3,5,3,527,23.34757334038313,7.420337219467921,1018.8443739347063,83.78513441436097,2.7736239233253532,0.0,2.0071745393756864,0.16466356418025677,0.8268184693232139,3.01707779886148,southerly_disrupted
month,3,5,4,159,151.09699676646585,10.625659495910515,1024.725732134972,68.27673384526643,5.852065482121332,0.0,2.8434767067321287,0.07299176643040693,-1.8286062081558112,2.49685534591195,southerly_disrupted
month,3,6,0,235,203.14539914204065,11.693186443869669,1013.4614204256595,89.78946459061811,1.7147576967299993,0.0,3.0453510641352923,-0.1119041094591781,-0.6821322351864559,1.578723404255319,southerly_disrupted
month,3,6,1,344,21.582111930906024,7.461877329332014,1017.5541751080566,85.07310779167886,2.5327046768865613,0.0,1.7626944110945615,0.018523711984319832,0.27317454363591015,3.177325581395349,southerly_disrupted
month,3,6,2,183,174.29168161528307,15.102605894741885,1024.6121851846224,85.97940713501097,2.3647042969037355,0.0,2.1542528162750694,0.024767675204212122,-2.0778071567072076,1.9726775956284153,southerly_disrupted
month,3,6,3,308,336.1105372764572,19.94392043678173,1011.3149821002553,74.47589069493955,4.608878886955807,0.0,1.9499399057946378,0.021523277298261003,-0.8126378997346726,1.775974025974026,southerly_disrupted
month,3,6,4,481,15.693361899392052,12.088450737076187,1017.3321793671186,80.80441986972949,3.3603375386631233,0.0,2.4494669966861844,0.24083001981669463,1.8600272729305,2.5613305613305615,southerly_disrupted
