month,regime_label,cp,n_rows,p10_remaining_warming,p25_remaining_warming,p50_remaining_warming,p75_remaining_warming,p90_remaining_warming
10,southerly_disrupted,21:00,353,0.0,1.0,2.0,3.0,4.0
10,southerly_disrupted,22:00,359,0.0,1.0,2.0,2.0,3.0
10,southerly_disrupted,23:00,372,0.0,0.0,1.0,2.0,2.0
10,standard_nw,20:00,57,1.0,2.0,3.0,4.0,5.0
10,standard_nw,21:00,55,1.0,2.0,2.0,3.0,5.0
10,standard_nw,22:00,47,1.0,1.0,2.0,3.0,3.0
10,standard_nw,23:00,41,0.0,1.0,1.0,2.0,2.0
10,strong_nw_foehn,20:00,48,1.0,2.0,3.0,3.0,4.0
10,strong_nw_foehn,21:00,47,1.0,1.0,2.0,3.0,3.0
10,strong_nw_foehn,22:00,46,0.0,1.0,1.0,2.0,3.0
10,strong_nw_foehn,23:00,40,0.0,0.0,1.0,2.0,2.0
11,calm_radiative,20:00,12,2.0,2.0,3.0,4.0,6.0
11,calm_radiative,21:00,12,1.0,2.0,3.0,4.0,6.0
11,calm_radiative,22:00,11,1.0,1.0,2.0,3.0,4.0
11,calm_radiative,23:00,10,0.0,1.0,2.0,2.0,4.0
11,insufficient,20:00,4,0.0,0.0,0.0,0.0,0.0
11,insufficient,21:00,4,0.0,0.0,0.0,0.0,0.0
11,insufficient,22:00,4,0.0,0.0,0.0,0.0,0.0
11,insufficient,23:00,4,0.0,0.0,0.0,0.0,0.0
11,southerly_disrupted,20:00,347,0.0,2.0,3.0,4.0,5.0
11,southerly_disrupted,21:00,350,0.0,1.0,2.0,3.0,4.0
11,southerly_disrupted,22:00,355,0.0,1.0,2.0,2.0,3.0
11,southerly_disrupted,23:00,372,0.0,0.0,1.0,2.0,3.0
11,standard_nw,20:00,58,1.0,2.0,3.0,5.0,6.0
11,standard_nw,21:00,52,1.0,2.0,2.0,4.0,4.0
11,standard_nw,22:00,46,0.0,1.0,2.0,3.0,3.0
11,standard_nw,23:00,31,0.0,0.0,1.0,2.0,3.0
11,strong_nw_foehn,20:00,32,1.0,2.0,3.0,4.0,4.0
11,strong_nw_foehn,21:00,35,1.0,2.0,2.0,3.0,4.0
11,strong_nw_foehn,22:00,37,1.0,1.0,1.0,2.0,2.0
11,strong_nw_foehn,23:00,36,0.0,0.0,1.0,2.0,2.0
12,calm_radiative,20:00,24,1.0,2.0,4.0,5.0,8.0
12,calm_radiative,21:00,21,1.0,2.0,3.0,5.0,7.0
12,calm_radiative,22:00,22,1.0,1.0,3.0,4.0,6.0
12,calm_radiative,23:00,18,1.0,1.0,2.0,3.0,5.0
12,insufficient,20:00,3,0.0,0.0,0.0,0.0,0.0
12,insufficient,21:00,3,0.0,0.0,0.0,0.0,0.0
12,insufficient,22:00,3,0.0,0.0,0.0,0.0,0.0
12,insufficient,23:00,3,0.0,0.0,0.0,0.0,0.0
12,southerly_disrupted,20:00,358,0.0,2.0,3.0,4.0,5.0
12,southerly_disrupted,21:00,363,0.0,1.0,2.0,3.0,4.0
12,southerly_disrupted,22:00,370,0.0,1.0,2.0,2.0,3.0
12,southerly_disrupted,23:00,379,0.0,0.0,1.0,2.0,3.0
12,standard_nw,20:00,74,1.0,2.0,4.0,4.0,5.0
12,standard_nw,21:00,69,1.0,1.0,2.0,3.0,4.0
12,standard_nw,22:00,61,0.0,1.0,2.0,3.0,4.0
12,standard_nw,23:00,50,0.0,0.0,1.0,2.0,3.0
12,strong_nw_foehn,20:00,32,2.0,2.0,3.0,4.0,5.0
12,strong_nw_foehn,21:00,35,1.0,2.0,3.0,4.0,4.0
12,strong_nw_foehn,22:00,35,0.0,1.0,2.0,3.0,4.0
12,strong_nw_foehn,23:00,41,0.0,1.0,1.0,2.0,3.0
