stratum_type,stratum_value,k,n_rows,n_features,min_cluster_rows,smallest_cluster_rows,underpowered_cluster,sse,aic_approx,bic_approx,silhouette_mean,eta2_tmax_anomaly,eta2_remaining_warming,converged
month,12,3,1705,9,30,544,false,9618.033165277317,36436.80841502746,36594.60670632927,0.15794850708174096,0.011225811920879937,0.016361037652518732,true
month,12,4,1705,9,30,351,false,8898.134547265458,35262.995991059666,35475.20748625865,0.12848134090428032,0.13430760480886683,0.01467077254797865,true
month,12,5,1705,9,30,195,false,8049.846378502476,33745.6012257815,34012.22592487767,0.1432437681522601,0.17421289713484572,0.033421786661269576,true
month,12,6,1705,9,30,187,false,7537.461273323748,32756.39765451986,33077.4355575132,0.16656472389647786,0.21738499705409844,0.08110421534340226,true
season,DJF,2,4842,9,30,2140,false,31113.898716416406,109025.67392974018,109148.89050935264,0.19112069390329567,0.010760286281298806,0.006722696864642729,true
season,DJF,3,4842,9,30,1353,false,27437.8848550369,103566.61608285352,103754.68349384096,0.16861561233035424,0.11952034199909553,0.013545532090792243,true
season,DJF,4,4842,9,30,850,false,24649.886450702674,98917.12777904143,99170.04602140385,0.16791080469771746,0.2248081760061031,0.03705452384535654,true
season,DJF,5,4842,9,30,526,false,22679.418820980434,95306.45108388449,95624.2201576219,0.17246357192374562,0.26219890390035805,0.03585431071791297,true
season,DJF,6,4842,9,30,487,false,21336.08923882492,92665.67061772474,93048.29052283712,0.16531681210447652,0.27857743376602623,0.052256945447226304,true
season,JJA,2,4669,9,30,2047,false,29312.38858302287,104154.18044185916,104276.70574556361,0.22720743361234697,0.07509285329659296,0.14156914586950348,true
season,JJA,3,4669,9,30,1079,false,26179.568505376625,99424.50619059027,99611.51849624443,0.1974087418345155,0.193580427572987,0.19631960596263193,true
season,JJA,4,4669,9,30,869,false,24050.542523175147,95880.21252342741,96131.71183103128,0.1596551570381058,0.3294595354062466,0.2420356853792065,true
season,JJA,5,4669,9,30,594,false,22316.22197877359,92755.20551365725,93071.19182321081,0.1400735285404776,0.2875293890097538,0.19037942431344088,true
season,JJA,6,4669,9,30,480,false,21096.53266349231,90413.40853707297,90793.88184857626,0.1676350124236513,0.37167678900843604,0.25949965036981204,true
season,MAM,2,5030,9,30,1982,false,32623.455326027033,113677.65232821731,113801.59265821609,0.1993175093562698,0.023658832205114236,0.05105466136902167,true
season,MAM,3,5030,9,30,1307,false,28555.132161489382,107667.92202219798,107857.0941048277,0.1742038429266826,0.07933465739708079,0.15080423881902663,true
season,MAM,4,5030,9,30,723,false,26174.450041760676,103747.03566811889,104001.43950337954,0.18131064650625153,0.1533991450645974,0.15671336762329524,true
season,MAM,5,5030,9,30,842,false,24136.198600360498,100096.95079623087,100416.58638412246,0.15219917195569285,0.35007987601881885,0.16916090669387146,true
season,MAM,6,5030,9,30,614,false,22535.930685148145,97011.34842478018,97396.21576530271,0.1619887427434003,0.3465269581392327,0.18375424605853713,true
season,SON,2,4719,9,30,1741,false,31039.634557996138,107248.41588390047,107371.14357554326,0.1721243480595646,0.037894536344889485,0.00244358744978347,true
season,SON,3,4719,9,30,1280,false,26339.5527729014,100294.96628184806,100482.28749540812,0.17106548839308885,0.04171567351648451,0.08121104207529421,true
season,SON,4,4719,9,30,735,false,23749.668624879425,95919.08444774189,96170.99918321922,0.17928486823716583,0.24706068771436837,0.07936676573004303,true
season,SON,5,4719,9,30,608,false,21246.881421021477,91209.57972612238,91526.08798351698,0.18264675060318553,0.33008277797820706,0.07336204824958659,true
season,SON,6,4719,9,30,457,false,19982.61486691748,88624.090518018,89005.19229732985,0.16604369256148085,0.35086846895931834,0.09984009584442877,true
