month,regime_label,cp,cooling_mechanism,n_rows,mean_remaining_warming,mean_tmax_anomaly,fixed_minus_2_trigger_rate,median_min_delta_t_per_h,underpowered_n_lt_30
6,insufficient,22:00,insufficient_obs,4,0.0,0.22950819672131217,0.0,,true
6,insufficient,23:00,insufficient_obs,4,0.0,0.22950819672131217,0.0,,true
6,southerly_disrupted,20:00,ambiguous_cooling,13,1.3846153846153846,1.2295081967213122,1.0,-4.0,true
6,southerly_disrupted,20:00,no_material_cooling,308,2.0844155844155843,-0.17633595912284367,0.0,-2.0,false
6,southerly_disrupted,20:00,radiative_pre_dawn,29,3.793103448275862,-0.14980214810627404,1.0,-4.0,true
6,southerly_disrupted,20:00,southerly_frontal,6,0.5,-0.10382513661202115,1.0,-4.0,true
6,southerly_disrupted,21:00,ambiguous_cooling,13,1.3846153846153846,1.2295081967213122,1.0,-4.0,true
6,southerly_disrupted,21:00,no_material_cooling,311,1.9485530546623795,-0.16920562964524732,0.0,-2.0,false
6,southerly_disrupted,21:00,radiative_pre_dawn,29,3.7241379310344827,-0.14980214810627404,1.0,-4.0,true
6,southerly_disrupted,21:00,southerly_frontal,7,0.42857142857142855,0.5152224824355979,1.0,-4.0,true
6,southerly_disrupted,22:00,ambiguous_cooling,13,1.3846153846153846,1.2295081967213122,1.0,-4.0,true
6,southerly_disrupted,22:00,no_material_cooling,313,1.610223642172524,-0.17624260200073255,0.0,-2.0,false
6,southerly_disrupted,22:00,post_dawn_advective,1,0.0,3.229508196721312,1.0,-6.0,true
6,southerly_disrupted,22:00,radiative_pre_dawn,29,3.1724137931034484,-0.14980214810627404,1.0,-4.0,true
6,southerly_disrupted,22:00,southerly_frontal,7,0.42857142857142855,0.5152224824355979,1.0,-4.0,true
6,southerly_disrupted,23:00,ambiguous_cooling,13,1.0769230769230769,1.2295081967213122,1.0,-4.0,true
6,southerly_disrupted,23:00,no_material_cooling,315,1.1650793650793652,-0.15461878740567195,0.0,-2.0,false
6,southerly_disrupted,23:00,post_dawn_advective,1,0.0,3.229508196721312,1.0,-6.0,true
6,southerly_disrupted,23:00,radiative_pre_dawn,29,2.5517241379310347,-0.14980214810627404,1.0,-4.0,true
6,southerly_disrupted,23:00,southerly_frontal,8,0.375,0.3545081967213122,1.0,-4.0,true
6,standard_nw,20:00,no_material_cooling,39,3.076923076923077,0.4346364018495173,0.0,-1.0,false
6,standard_nw,21:00,no_material_cooling,37,3.027027027027027,0.47275143996455543,0.0,-1.0,false
6,standard_nw,22:00,no_material_cooling,35,2.5714285714285716,0.5152224824355979,0.0,-1.0,false
6,standard_nw,23:00,no_material_cooling,29,2.103448275862069,0.2984737139626915,0.0,-1.0,true
6,strong_nw_foehn,20:00,no_material_cooling,20,1.75,1.2795081967213122,0.0,0.0,true
6,strong_nw_foehn,21:00,no_material_cooling,17,1.588235294117647,1.1118611378977827,0.0,0.0,true
6,strong_nw_foehn,22:00,no_material_cooling,17,1.411764705882353,1.053037608486018,0.0,0.0,true
6,strong_nw_foehn,23:00,no_material_cooling,20,0.8,1.0795081967213123,0.0,0.0,true
7,calm_radiative,20:00,no_material_cooling,12,1.8333333333333333,-1.618390804597701,0.0,-0.5,true
7,calm_radiative,21:00,no_material_cooling,11,1.6363636363636365,-1.4971786833855796,0.0,-1.0,true
7,calm_radiative,22:00,no_material_cooling,10,1.4,-1.351724137931034,0.0,-1.0,true
7,calm_radiative,23:00,no_material_cooling,10,1.1,-1.351724137931034,0.0,-1.0,true
