month,cp,wind_sector,n_obs,n_days,total_obs,share,mean_sknt
5,20:00,SW,187,62,6891,0.027136845160354084,14.711229946524064
5,20:00,W,67,35,6891,0.009722826875634886,6.970149253731344
5,20:00,unknown,1,1,6891,0.00014511681903932666,3.0
5,21:00,E,134,71,7760,0.017268041237113403,2.701492537313433
5,21:00,N,3921,376,7760,0.5052835051546392,12.904616169344555
5,21:00,NE,1401,263,7760,0.18054123711340206,6.708779443254818
5,21:00,NW,253,97,7760,0.03260309278350516,12.24901185770751
5,21:00,S,1501,161,7760,0.1934278350515464,18.01798800799467
5,21:00,SE,272,66,7760,0.03505154639175258,9.463235294117647
5,21:00,SW,205,67,7760,0.026417525773195876,14.873170731707317
5,21:00,W,72,37,7760,0.009278350515463918,6.916666666666667
5,21:00,unknown,1,1,7760,0.0001288659793814433,3.0
5,22:00,E,140,74,8623,0.016235648846109244,2.6857142857142855
5,22:00,N,4416,379,8623,0.5121187521744173,12.894021739130435
5,22:00,NE,1504,265,8623,0.174417256175345,6.755984042553192
5,22:00,NW,281,102,8623,0.032587266612547836,12.153024911032029
5,22:00,S,1675,164,8623,0.19424794155166417,17.898507462686567
5,22:00,SE,298,68,8623,0.034558738258146815,9.53020134228188
5,22:00,SW,230,68,8623,0.026672851675750897,14.930434782608696
5,22:00,W,78,40,8623,0.009045575785689436,6.67948717948718
5,22:00,unknown,1,1,8623,0.00011596892032935173,3.0
5,23:00,E,145,78,9482,0.015292132461506012,2.7241379310344827
5,23:00,N,4898,379,9482,0.5165576882514238,12.939363005308289
5,23:00,NE,1586,269,9482,0.1672642902341278,6.844892812105927
5,23:00,NW,321,111,9482,0.03385361738029952,12.180685358255452
5,23:00,S,1857,174,9482,0.1958447584897701,17.671513193322564
5,23:00,SE,319,71,9482,0.033642691415313224,9.617554858934168
5,23:00,SW,272,79,9482,0.028685931238135415,14.408088235294118
5,23:00,W,83,44,9482,0.008753427546931028,6.530120481927711
5,23:00,unknown,1,1,9482,0.0001054629824931449,3.0
6,20:00,E,152,73,6249,0.02432389182269163,3.5328947368421053
6,20:00,N,2712,303,6249,0.4339894383101296,11.653761061946902
6,20:00,NE,1138,220,6249,0.18210913746199392,5.702108963093146
6,20:00,NW,190,80,6249,0.03040486477836454,11.173684210526316
6,20:00,S,1438,166,6249,0.23011681869099057,17.28233657858136
6,20:00,SE,381,79,6249,0.060969755160825735,10.21259842519685
6,20:00,SW,183,65,6249,0.02928468554968795,12.524590163934427
6,20:00,W,55,31,6249,0.00880140822531605,6.363636363636363
6,21:00,E,158,75,7032,0.022468714448236633,3.4936708860759493
6,21:00,N,3049,308,7032,0.43358930602957907,11.681862905870778
6,21:00,NE,1275,227,7032,0.18131399317406144,5.709019607843137
6,21:00,NW,217,84,7032,0.030858930602957906,11.433179723502304
6,21:00,S,1625,176,7032,0.23108646188850968,17.268923076923077
6,21:00,SE,433,83,7032,0.06157565415244596,10.133949191685913
6,21:00,SW,213,73,7032,0.030290102389078498,12.60093896713615
6,21:00,W,62,35,7032,0.00881683731513083,6.435483870967742
6,22:00,E,166,77,7809,0.02125752337046997,3.5963855421686746
6,22:00,N,3408,310,7809,0.43641951594314254,11.67987089201878
6,22:00,NE,1387,232,7809,0.17761557177615572,5.777937995674117
6,22:00,NW,239,86,7809,0.030605711358688694,11.715481171548117
6,22:00,S,1816,182,7809,0.23255218337815342,17.262665198237887
6,22:00,SE,484,91,7809,0.06197976693558714,10.080578512396695
6,22:00,SW,239,77,7809,0.030605711358688694,12.539748953974895
6,22:00,W,70,40,7809,0.008964015879113843,6.171428571428572
6,23:00,E,173,79,8586,0.020149079897507572,3.6416184971098264
6,23:00,N,3775,311,8586,0.43966922897740507,11.744635761589404
6,23:00,NE,1471,236,8586,0.17132541346377825,5.875594833446635
6,23:00,NW,263,91,8586,0.03063126019100862,11.85171102661597
6,23:00,S,2024,186,8586,0.2357325879338458,17.12598814229249
6,23:00,SE,532,95,8586,0.061961332401583975,10.261278195488721
6,23:00,SW,267,85,8586,0.031097134870719776,12.247191011235955
6,23:00,W,81,45,8586,0.009433962264150943,6.333333333333333
7,20:00,E,130,69,6378,0.020382565067419253,3.0153846153846153
7,20:00,N,2864,316,6378,0.4490435873314519,11.376047486033519
7,20:00,NE,1189,233,6378,0.18642207588585763,6.434819175777965
