month,cp,wind_sector,n_obs,n_days,mean_tmax_anomaly,mean_remaining_warming,mean_sknt,underpowered_n_lt_30
5,22:00,SW,230,68,-1.8619472315124483,1.1956521739130435,14.930434782608696,false
5,22:00,W,78,40,-1.3931623931623924,1.294871794871795,6.67948717948718,false
5,22:00,unknown,1,1,-1.6880341880341874,4.0,3.0,true
5,23:00,E,145,78,-0.9707928087238424,1.6689655172413793,2.7241379310344827,false
5,23:00,N,4898,379,1.2229498870985198,1.3097182523478972,12.939363005308289,false
5,23:00,NE,1586,269,-0.026621829900517757,2.0226986128625475,6.844892812105927,false
5,23:00,NW,321,111,0.6328380861091149,0.7227414330218068,12.180685358255452,false
5,23:00,S,1857,174,-2.2486157712328954,0.7264404954227248,17.671513193322564,false
5,23:00,SE,319,71,-1.5908555046486075,1.0376175548589341,9.617554858934168,false
5,23:00,SW,272,79,-1.8608283056812462,1.0845588235294117,14.408088235294118,false
5,23:00,W,83,44,-1.3988775615281634,1.0481927710843373,6.530120481927711,false
5,23:00,unknown,1,1,-1.6880341880341874,4.0,3.0,true
6,20:00,E,152,73,0.5255608283002595,2.513157894736842,3.5328947368421053,false
6,20:00,N,2712,303,1.1096704386092178,2.4026548672566372,11.653761061946902,false
6,20:00,NE,1138,220,0.1618456308162155,3.9578207381370825,5.702108963093146,false
6,20:00,NW,190,80,0.803192407247628,1.4421052631578948,11.173684210526316,false
6,20:00,S,1438,166,-1.6474041815818867,0.9944367176634215,17.28233657858136,false
6,20:00,SE,381,79,-0.8124865539348558,1.3202099737532809,10.21259842519685,false
6,20:00,SW,183,65,-0.857923497267759,1.5846994535519126,12.524590163934427,false
6,20:00,W,55,31,-0.9704918032786878,1.7272727272727273,6.363636363636363,false
6,21:00,E,158,75,0.5522930068478945,2.3734177215189876,3.4936708860759493,false
6,21:00,N,3049,308,1.1045491937695247,2.2879632666448018,11.681862905870778,false
6,21:00,NE,1275,227,0.15029251044680236,3.7458823529411767,5.709019607843137,false
6,21:00,NW,217,84,0.8470197174586395,1.3087557603686637,11.433179723502304,false
6,21:00,S,1625,176,-1.6178764186633032,0.9261538461538461,17.268923076923077,false
6,21:00,SE,433,83,-0.8166811797221059,1.2632794457274827,10.133949191685913,false
6,21:00,SW,213,73,-0.8878626952974671,1.4694835680751173,12.60093896713615,false
6,21:00,W,62,35,-0.931782125859333,1.6451612903225807,6.435483870967742,false
6,22:00,E,166,77,0.5849298834683001,1.9518072289156627,3.5963855421686746,false
6,22:00,N,3408,310,1.100693642730702,1.9078638497652582,11.67987089201878,false
6,22:00,NE,1387,232,0.1271289609606777,3.0064888248017305,5.777937995674117,false
