month,regime_label,cp,tmax_hour_bucket,n_rows,total_rows,bucket_share,underpowered_n_lt_30
5,insufficient,21:00,between_13_17,2,3,0.6666666666666666,true
5,insufficient,22:00,before_13,1,3,0.3333333333333333,true
5,insufficient,22:00,between_13_17,2,3,0.6666666666666666,true
5,insufficient,23:00,before_13,1,3,0.3333333333333333,true
5,insufficient,23:00,between_13_17,2,3,0.6666666666666666,true
5,southerly_disrupted,20:00,after_17,11,381,0.028871391076115485,false
5,southerly_disrupted,20:00,before_13,248,381,0.6509186351706037,false
5,southerly_disrupted,20:00,between_13_17,122,381,0.32020997375328086,false
5,southerly_disrupted,21:00,after_17,11,384,0.028645833333333332,false
5,southerly_disrupted,21:00,before_13,251,384,0.6536458333333334,false
5,southerly_disrupted,21:00,between_13_17,122,384,0.3177083333333333,false
5,southerly_disrupted,22:00,after_17,12,388,0.030927835051546393,false
5,southerly_disrupted,22:00,before_13,251,388,0.6469072164948454,false
5,southerly_disrupted,22:00,between_13_17,125,388,0.32216494845360827,false
5,southerly_disrupted,23:00,after_17,12,392,0.030612244897959183,false
5,southerly_disrupted,23:00,before_13,255,392,0.6505102040816326,false
5,southerly_disrupted,23:00,between_13_17,125,392,0.31887755102040816,false
5,standard_nw,20:00,after_17,3,55,0.05454545454545454,false
5,standard_nw,20:00,before_13,30,55,0.5454545454545454,false
5,standard_nw,20:00,between_13_17,22,55,0.4,false
5,standard_nw,21:00,after_17,3,52,0.057692307692307696,false
5,standard_nw,21:00,before_13,27,52,0.5192307692307693,false
5,standard_nw,21:00,between_13_17,22,52,0.4230769230769231,false
5,standard_nw,22:00,after_17,3,48,0.0625,false
5,standard_nw,22:00,before_13,25,48,0.5208333333333334,false
5,standard_nw,22:00,between_13_17,20,48,0.4166666666666667,false
5,standard_nw,23:00,after_17,3,46,0.06521739130434782,false
5,standard_nw,23:00,before_13,23,46,0.5,false
5,standard_nw,23:00,between_13_17,20,46,0.43478260869565216,false
5,strong_nw_foehn,20:00,after_17,1,20,0.05,true
5,strong_nw_foehn,20:00,before_13,16,20,0.8,true
5,strong_nw_foehn,20:00,between_13_17,3,20,0.15,true
5,strong_nw_foehn,21:00,after_17,1,20,0.05,true
5,strong_nw_foehn,21:00,before_13,16,20,0.8,true
5,strong_nw_foehn,21:00,between_13_17,3,20,0.15,true
5,strong_nw_foehn,22:00,after_17,1,20,0.05,true
5,strong_nw_foehn,22:00,before_13,17,20,0.85,true
5,strong_nw_foehn,22:00,between_13_17,2,20,0.1,true
5,strong_nw_foehn,23:00,after_17,1,19,0.05263157894736842,true
5,strong_nw_foehn,23:00,before_13,16,19,0.8421052631578947,true
5,strong_nw_foehn,23:00,between_13_17,2,19,0.10526315789473684,true
6,calm_radiative,20:00,before_13,6,8,0.75,true
6,calm_radiative,20:00,between_13_17,2,8,0.25,true
6,calm_radiative,21:00,before_13,6,9,0.6666666666666666,true
6,calm_radiative,21:00,between_13_17,3,9,0.3333333333333333,true
